Players,Team,Type,Sold,Age
Matthew Forde,-,AR,TBA,19
Patrick Kruger,-,AR,TBA,26
Lahiru Kumara,-,BOWL,TBA,26
Michael Neser,-,AR,TBA,33
Richard Ngarava,-,BOWL,TBA,27
Wayne Parnell,-,BOWL,TBA,30
Keemo Paul,-,AR,TBA,22
Odean Smith,-,AR,TBA,30
Andrew Tye,-,BOWL,TBA,28
Ajay Ahlawat,-,AR,TBA,35
Corbin Bosch,-,AR,TBA,27
Mayank Gusain,-,AR,TBA,35
Mukhtar Hussain,-,AR,TBA,27
Girinath Reddy,-,AR,TBA,28
Jalaj Saxena,-,AR,TBA,38
Yajas Sharma,-,AR,TBA,27
Sanjay Yadav,-,AR,Unsold,30
Vishal Godara,-,BOWL,TBA,23
Eshan Malinga,SRH,BOWL,1.2,26
Samarth Nagaraj,-,BOWL,TBA,26
Abhishek Saini,-,BOWL,TBA,38
Dumindu Sewmina,-,BOWL,TBA,19
Pradyuman Singh,-,BOWL,TBA,29
Vasu Vats,-,BOWL,TBA,22
Umang Kumar,-,AR,Unsold,
Mohamed Ali,-,AR,TBA,
Atharva Ankolekar,-,AR,TBA,
Vaisakh Chandran,-,AR,TBA,
Auqib Nabi,-,AR,TBA,Age
Rohit Rayudu,-,AR,TBA,
Uday Saharan,-,AR,TBA,
Ayush Vartak,-,AR,TBA,24
Baba Aparajith,-,AR,TBA,19
Sumit Beniwal,-,AR,TBA,26
Nishunk Birla,-,AR,TBA,20
Digvijay Deshmukh,-,AR,Unsold,23
Lakshay Jain,-,AR,TBA,22
Duan Jansen,-,AR,TBA,24
Kritagya Singh,-,AR,TBA,20
P Vignesh,-,AR,TBA,24
Sabhay Chadha,-,AR,TBA,28
Benny Howell,-,AR,TBA,28
Hemanth Kumar,-,AR,TBA,30
Rohan Rana,-,AR,TBA,20
Bharat Sharma,-,AR,TBA,20
Pratham Singh,-,AR,TBA,30
Tripurana Vijay,DC,AR,0.3,25
Ravi Kumar Yadav,-,AR,TBA,20
Arjun Azad,-,AR,TBA,26
Abhay Choudhary,-,AR,TBA,22
Gaurav Gambhir,-,AR,TBA,24
Shubham Garhwal,-,AR,TBA,24
Tejasvi Jaiswal,-,AR,TBA,20
Sairaj Patil,-,AR,TBA,26
Madhav Tiwari,DC,AR,0.4,36
Kamal Tripathi,-,AR,TBA,20
Prashant Chauhan,-,AR,TBA,23
Yash Dabas,-,AR,Unsold,29
Dhruv Kaushik,-,AR,TBA,32
Khrievitso Kense,-,AR,Unsold,23
Akash Parkar,-,AR,TBA,27
Vignesh Puthur,MI,AR,0.3,23
Tripuresh Singh,-,AR,TBA,22
Vijay Yadav,-,AR,TBA,37
Jofra Archer,RR,BOWL,12.5,29
Saurabh Netravalkar,-,BOWL,TBA,28
Hardik Tamore,-,WK,TBA,28
Daryl Mitchell,-,AR,Unsold,21
